Round,Train_Loss,Test_Loss,Test_Acc
1,2.3128805637359617,2.258317470550537,0.1967555731534958
2,2.246327114105225,2.175629138946533,0.2945859730243683
3,2.1631863117218018,2.063340187072754,0.47113853693008423
4,2.0481982231140137,1.9090385437011719,0.6287818551063538
5,1.862288737297058,1.687875747680664,0.5630971193313599
6,1.6475874185562134,1.3540565967559814,0.7488057613372803
7,1.322632646560669,1.0308198928833008,0.7711982727050781
8,1.07560852766037,0.7930259704589844,0.784832775592804
9,0.8168108820915222,0.6363611817359924,0.8118033409118652
10,0.714027488231659,0.5338447690010071,0.8316082954406738
11,0.8097241163253784,0.5418264865875244,0.8285230994224548
12,0.631525593996048,0.5044163465499878,0.840664803981781
13,0.6210393607616425,0.4091211259365082,0.8693272471427917
14,0.6410825371742248,0.41212600469589233,0.8663415312767029
15,0.33753077387809755,0.3537997007369995,0.8892316818237305
16,0.35200088024139403,0.3514045774936676,0.8923168778419495
17,0.41667895913124087,0.3266163766384125,0.9063495397567749
18,0.3517506688833237,0.31415581703186035,0.9090366363525391
19,0.2800192028284073,0.2985174059867859,0.9123208522796631
20,0.3413618117570877,0.2780472934246063,0.9186902642250061
21,0.3088643938302994,0.2587462067604065,0.9265525341033936
22,0.3063400834798813,0.26421114802360535,0.9275477528572083
23,0.27354826033115387,0.24638354778289795,0.9327229261398315
24,0.2146138370037079,0.23340772092342377,0.934414803981781
25,0.2603889971971512,0.2268659472465515,0.9365047812461853
26,0.2690655529499054,0.22246704995632172,0.9360071420669556
27,0.23982639014720916,0.2181064635515213,0.9372014403343201
28,0.2682028263807297,0.19997619092464447,0.9449641704559326
29,0.2302948758006096,0.19842977821826935,0.9439689517021179
30,0.2340708553791046,0.1959468275308609,0.9434713125228882
31,0.1800253361463547,0.18801753222942352,0.9459593892097473
32,0.20821236670017243,0.1799803525209427,0.9474522471427917
33,0.19637466222047806,0.17325305938720703,0.9507364630699158
34,0.12357555478811263,0.16990630328655243,0.953324019908905
35,0.1574621468782425,0.17372439801692963,0.9522293210029602
36,0.16104121059179305,0.1717662364244461,0.9519307613372803
37,0.2221051946282387,0.16657181084156036,0.9544187784194946
38,0.238447405397892,0.1530899554491043,0.956707775592804
39,0.13838535100221633,0.15536262094974518,0.9537221193313599
40,0.2213754326105118,0.1542024463415146,0.9544187784194946
41,0.2005598932504654,0.14687366783618927,0.9587977528572083
42,0.12485913932323456,0.14253723621368408,0.9602906107902527
43,0.1428697258234024,0.14003092050552368,0.9614848494529724
44,0.13308050781488417,0.14026303589344025,0.9593949317932129
45,0.17934194952249527,0.1374340057373047,0.959792971611023
46,0.14826563447713853,0.13493235409259796,0.9609872698783875
47,0.13450555205345155,0.13579365611076355,0.9622810482978821
48,0.17855572700500488,0.13376066088676453,0.9629777073860168
49,0.1315602719783783,0.1322101354598999,0.9633758068084717
50,0.13778001815080643,0.1289520561695099,0.9632762670516968
51,0.14322739392518996,0.128779336810112,0.9638733863830566
52,0.14831067845225335,0.1279432773590088,0.9631767272949219
53,0.1297949254512787,0.12689654529094696,0.9633758068084717
54,0.13821618109941483,0.12634801864624023,0.9639729261398315
55,0.1466660350561142,0.12562182545661926,0.9642714858055115
56,0.15161834806203842,0.12457325309515,0.9645700454711914
57,0.17107583731412887,0.1236165314912796,0.9647691249847412
58,0.12963027656078338,0.12272930890321732,0.9653662443161011
59,0.12796240746974946,0.12233974784612656,0.965167224407196
60,0.15803412944078446,0.1221085786819458,0.9647691249847412
61,0.10000358521938324,0.12181436270475388,0.9646695852279663
62,0.1950798362493515,0.12149202078580856,0.9647691249847412
63,0.1085112825036049,0.12153313308954239,0.9648686051368713
64,0.11962923333048821,0.12180034071207047,0.9648686051368713
65,0.14213253930211067,0.1214732974767685,0.9643710255622864
66,0.13943357840180398,0.12110219150781631,0.9648686051368713
67,0.16007438004016877,0.12112423032522202,0.9648686051368713
68,0.16936794072389602,0.12110409885644913,0.965167224407196
69,0.10794978141784668,0.12104722112417221,0.9649681448936462
70,0.15714652538299562,0.12060940265655518,0.965167224407196
71,0.1082756906747818,0.12017777562141418,0.9653662443161011
72,0.15769286900758744,0.11978834867477417,0.9652667045593262
73,0.13209408223629,0.11967790126800537,0.965465784072876
74,0.14496086686849594,0.11902262270450592,0.9655652642250061
